COLE_CODIGO_COLEGIO;COLE_NOMBRE_SEDE;COLE_ES_BILINGUE
97659;INSTITUTO DOCENTE SAN LUIS GONZAGA;0
97667;INSTITUCION EDUCATIVA SANTA SOFIA;0
97675;CORP  DE SANTANDER CORSAN E.U                                                                       ;0
97691;INSTITUTO COMERCIAL BOLIVARIANO;0
97709;INSTITUTO COMERCIAL BOLIVARIANO;0
97717;COLEGIO  MESA DE JERIDAS;0
97733;INSTITUTO POLITENCIO JOSE CELESTINO MUTIS - SEDE PRINCIPAL;0
115170;CENT DE ENSEÑANZA PRECOZ LIC VALDERRAMA;0
115402;INSTITUTO SAN CARLOS DE SOLEDAD;0
111708;LICEO CAÑAVERAL DE OCCIDENTE;0
111716;LICEO BRITANICO SUPERIOR (ANTES TEDUCAMOS 1A) - SEDE PRINCIPAL;0
111732;COLEGIO CORPORACIÓN SANTO DOMINGO;0
111740;LICEO SAMARIO;0
111773;COL RAFAEL POMBO;0
111781;INSTITUCIÓN EDUCATIVA TECNICO AGROINDUSTRIAL NAZARET;0
111799;LICEO BRILLANTE JUVENTUD;0
111807;INST CAMILO TERREROS;0
111823;81/02 INSTITUCION EDUCATIVA LA BUITRERA JOSE MARIA GARCIA DE TOLED;0
111831;INSTITUCION EDUCATIVA CIUDAD CORDOBA - SEDE PRINCIPAL;0
111849;69/01 INSTITUCION EDUCATIVA LA ESPERANZA;0
